GEO,POB,SEX,LMS,ROY,COC,AGE,TIME,PROVIDER,VALUE,FLAGS,FOOTNOTES
DE254,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,350679,,,
DE255,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,30989,,,
DE256,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,156514,,,
DE257,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,113767,,,
DE258,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,96290,,,
DE259,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,144530,,,
DE25A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,85569,,,
DE25B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,110641,,,
DE25C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,81282,,,
DE26,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1129809,,,
DE261,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,51037,,,
DE262,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,36722,,,
DE263,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,99680,,,
DE264,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,153543,,,
DE265,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,91530,,,
DE266,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,71980,,,
DE267,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,77227,,,
DE268,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,77936,,,
DE269,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,109552,,,
DE26A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,115305,,,
DE26B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,101708,,,
DE26C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,143589,,,
DE27,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1483434,,,
DE271,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,189243,,,
DE272,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,30226,,,
DE273,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,48471,,,
DE274,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,31406,,,
DE275,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,112217,,,
DE276,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,203895,,,
